learner,benchmark,protocol,prefix_fraction,probe_count,intervention_cost,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,n_runs,confusion_matrix,feature_names,recall_neither,recall_reward,recall_observation,recall_both
tabular,factorial,reward,0.05,16,80.0,0.85,0.65,1.0,0.8453282828282829,0.5970695970695971,1.0,20,"[[5, 0, 0, 0], [2, 3, 0, 0], [0, 0, 4, 1], [0, 0, 0, 5]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,0.6,0.8,1.0
tabular,factorial,reward,0.05,32,160.0,0.85,0.65,1.0,0.8453282828282829,0.5970695970695971,1.0,20,"[[5, 0, 0, 0], [2, 3, 0, 0], [0, 0, 4, 1], [0, 0, 0, 5]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,0.6,0.8,1.0
tabular,factorial,reward,0.05,64,320.0,0.75,0.44999999999999996,1.0,0.7491258741258742,0.40463458110516937,1.0,20,"[[5, 0, 0, 0], [2, 3, 0, 0], [0, 0, 3, 2], [1, 0, 0, 4]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,0.6,0.6,0.8
tabular,factorial,combined,0.05,4,36.0,1.0,1.0,1.0,1.0,1.0,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,1.0
tabular,factorial,combined,0.05,8,72.0,1.0,1.0,1.0,1.0,1.0,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,1.0
tabular,factorial,combined,0.05,16,144.0,1.0,1.0,1.0,1.0,1.0,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,1.0
tabular,factorial,combined,0.05,32,288.0,1.0,1.0,1.0,1.0,1.0,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,1.0
tabular,factorial,combined,0.05,64,576.0,1.0,1.0,1.0,1.0,1.0,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,1.0
tabular,factorial,random,0.1,0,0.0,0.25,0.05,0.4,0.24431818181818182,0.05,0.3628593628593628,20,"[[2, 1, 0, 2], [2, 1, 1, 1], [1, 0, 2, 2], [1, 1, 3, 0]]","[""action_diversity"", ""episode_length"", ""history_dependence"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",0.4,0.2,0.4,0.0
tabular,factorial,reward_curve,0.1,0,0.0,0.35000000000000003,0.25,0.55,0.34848484848484845,0.16666666666666666,0.5368131868131868,20,"[[1, 3, 1, 0], [3, 1, 0, 1], [1, 0, 3, 1], [1, 0, 2, 2]]","[""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std""]",0.2,0.2,0.6,0.4
