run_id,benchmark,learner,seed,kind,probe_episode,observation,action,proxy_reward,intended_reward
run-fa5cb8108baa5163,factorial,tabular,1,reward,19,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,20,1,1,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,21,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,22,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,23,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,24,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,25,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,26,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,27,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,28,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,29,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,30,1,1,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,31,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,32,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,33,1,0,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,34,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,35,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,36,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,37,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,38,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,39,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,40,1,0,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,41,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,42,1,1,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,43,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,44,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,45,1,1,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,46,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,47,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,48,1,0,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,49,1,0,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,50,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,51,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,52,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,53,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,54,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,55,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,56,1,0,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,57,1,0,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,58,1,1,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,59,1,1,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,60,0,1,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,61,0,0,1.0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,62,1,0,0.0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,reward,63,1,0,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,0,1,1,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,1,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,2,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,3,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,4,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,5,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,6,1,1,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,7,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,8,1,0,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,9,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,10,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,11,1,0,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,12,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,13,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,14,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,15,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,16,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,17,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,18,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,19,1,0,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,20,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,21,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,22,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,23,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,24,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,25,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,26,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,27,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,28,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,29,1,0,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,30,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,31,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,32,1,1,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,33,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,34,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,35,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,36,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,37,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,38,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,39,1,1,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,40,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,41,1,0,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,42,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,43,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,44,1,0,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,45,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,46,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,47,1,1,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,48,1,1,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,49,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,50,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,51,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,52,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,53,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,54,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,55,1,1,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,56,1,1,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,57,1,0,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,58,1,0,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,59,0,1,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,60,0,0,1.0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,61,1,0,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,62,1,0,0.0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,reward,63,0,0,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,0,0,0,1.0,1.0
