learner,action,observation_mechanism_rate,reward_mechanism_rate,absolute_difference
ppo,0,0.7428831701207015,0.7473871469868801,0.0045039768661786495
ppo,1,0.2627257799671593,0.26043737574552683,0.0022884042216324563
tabular,0,0.7412536443148688,0.7504712535344015,0.00921760921953263
tabular,1,0.25339366515837103,0.24206349206349206,0.011330173094878965
