run_id,benchmark,learner,seed,kind,probe_episode,observation,action,proxy_reward,latent_state,intended_reward
run-fa5cb8108baa5163,factorial,tabular,1,combined,15,0,0,1.0,0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,16,0,0,1.0,0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,17,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,18,0,0,1.0,0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,19,0,0,1.0,0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,20,1,1,1.0,1,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,21,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,22,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,23,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,24,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,25,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,26,0,0,1.0,0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,27,0,0,1.0,0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,28,0,0,1.0,0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,29,0,0,1.0,0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,30,1,1,1.0,1,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,31,0,0,1.0,0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,32,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,33,1,0,0.0,1,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,34,0,0,1.0,0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,35,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,36,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,37,0,0,1.0,0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,38,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,39,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,40,1,0,0.0,1,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,41,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,42,1,1,1.0,1,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,43,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,44,0,0,1.0,0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,45,1,1,1.0,1,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,46,0,0,1.0,0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,47,0,0,1.0,0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,48,1,0,0.0,1,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,49,1,0,0.0,1,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,50,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,51,0,0,1.0,0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,52,0,0,1.0,0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,53,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,54,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,55,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,56,1,0,0.0,1,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,57,1,0,0.0,1,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,58,1,1,1.0,1,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,59,1,1,1.0,1,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,60,0,1,0.0,0,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,61,0,0,1.0,0,1.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,62,1,0,0.0,1,0.0
run-fa5cb8108baa5163,factorial,tabular,1,combined,63,1,0,0.0,1,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,0,1,1,1.0,1,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,1,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,2,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,3,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,4,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,5,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,6,1,1,1.0,1,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,7,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,8,1,0,0.0,1,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,9,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,10,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,11,1,0,0.0,1,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,12,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,13,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,14,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,15,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,16,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,17,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,18,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,19,1,0,0.0,1,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,20,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,21,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,22,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,23,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,24,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,25,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,26,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,27,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,28,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,29,1,0,0.0,1,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,30,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,31,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,32,1,1,1.0,1,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,33,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,34,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,35,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,36,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,37,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,38,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,39,1,1,1.0,1,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,40,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,41,1,0,0.0,1,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,42,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,43,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,44,1,0,0.0,1,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,45,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,46,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,47,1,1,1.0,1,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,48,1,1,1.0,1,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,49,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,50,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,51,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,52,0,0,1.0,0,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,53,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,54,0,1,0.0,0,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,55,1,1,1.0,1,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,56,1,1,1.0,1,1.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,57,1,0,0.0,1,0.0
run-d03a85fca5b653e5,factorial,tabular,2,combined,58,1,0,0.0,1,0.0
